rank,reference_type,model,feature,median,mean,n
bottom5,style,openvoice,CPP,2.0850938197866977,2.552832221818668,79
bottom5,style,openvoice,Energy,1.5672199005482215,2.497047775509755,80
bottom5,style,openvoice,H1H2c,2.348194192678877,3.3423372135502,79
bottom5,style,openvoice,H2H4c,2.3648285081736327,3.7259920410947878,79
bottom5,style,openvoice,H2KH5Kc,1.7717212770606015,2.669918943784028,79
bottom5,style,openvoice,H42Kc,1.596563812923695,2.0271521448346994,79
bottom5,style,openvoice,HNR05,1.1825628802697925,1.9726220991919434,79
bottom5,style,openvoice,HNR15,1.386024236685946,2.152597738414847,79
bottom5,style,openvoice,HNR25,2.139324087299764,2.7621498249888776,79
bottom5,style,openvoice,HNR35,2.683535964744217,3.271054693996966,79
bottom5,style,openvoice,sB1,1.62571638467438,2.0021760939693722,80
bottom5,style,openvoice,sB2,0.731222962766537,1.247162921208126,80
bottom5,style,openvoice,sB3,0.6171752258045999,0.9477137899681607,80
bottom5,style,openvoice,sB4,1.4089034456780558,2.1434275541305468,80
bottom5,style,openvoice,sF0,1.7263427099178503,6.931910127323171,80
bottom5,style,openvoice,sF1,0.673280443237404,1.1617778993368317,80
bottom5,style,openvoice,sF2,1.283638438745443,2.0389306105432725,80
bottom5,style,openvoice,sF3,1.0714452321445451,3.0525714730930544,80
bottom5,style,openvoice,sF4,1.9909438990471275,3.593114395327075,80
bottom5,style,seed_vc,CPP,2.0382773154764102,2.7116045518782332,76
bottom5,style,seed_vc,Energy,9.787349948827469,14.637242403073781,80
bottom5,style,seed_vc,H1H2c,3.7645316614631112,6.303695097743744,76
bottom5,style,seed_vc,H2H4c,2.0875313139239218,3.9082532323327697,76
bottom5,style,seed_vc,H2KH5Kc,1.4922173707563213,2.5521555354634318,76
bottom5,style,seed_vc,H42Kc,1.345809546215812,2.377869040807255,76
bottom5,style,seed_vc,HNR05,1.1832437210485574,1.5431899872350348,76
bottom5,style,seed_vc,HNR15,1.1670360918829266,1.5973078389266535,76
bottom5,style,seed_vc,HNR25,1.6520916293203594,2.3575002994511776,76
bottom5,style,seed_vc,HNR35,2.2265476106908215,2.6680406515848234,76
bottom5,style,seed_vc,sB1,1.2859240619975703,1.6415754333894206,80
bottom5,style,seed_vc,sB2,0.9005698087238052,1.6529975458550428,80
bottom5,style,seed_vc,sB3,0.9686548984846532,1.9275954475798802,80
bottom5,style,seed_vc,sB4,1.022393461977268,1.7521134049682092,80
bottom5,style,seed_vc,sF0,1.1577952587081906,3.3295500464418097,80
bottom5,style,seed_vc,sF1,1.1359397752869453,1.5872285324612097,80
bottom5,style,seed_vc,sF2,1.2269358026407102,2.717944707990103,80
bottom5,style,seed_vc,sF3,2.1632931353438534,3.8383509740101553,80
bottom5,style,seed_vc,sF4,1.5130637468381558,3.119119498082525,80
bottom5,timbre,openvoice,CPP,1.40682644699689,2.1626885239164233,73
bottom5,timbre,openvoice,Energy,1.2680476046574458,2.359413140045049,74
bottom5,timbre,openvoice,H1H2c,1.521989898159682,3.104043532191828,73
bottom5,timbre,openvoice,H2H4c,1.373376029967748,2.663655959070505,73
bottom5,timbre,openvoice,H2KH5Kc,1.855396561482596,4.318960313247015,73
bottom5,timbre,openvoice,H42Kc,1.192854690748703,2.4106057261128444,73
bottom5,timbre,openvoice,HNR05,1.8374077442603094,2.762805505877984,73
bottom5,timbre,openvoice,HNR15,1.9702862271792865,2.4464568899606953,73
bottom5,timbre,openvoice,HNR25,1.7216158072615482,2.4190743696881123,73
bottom5,timbre,openvoice,HNR35,2.094483745753868,2.589203193056461,73
bottom5,timbre,openvoice,sB1,0.6512864178503273,1.2651793384695473,74
bottom5,timbre,openvoice,sB2,0.7175755492770254,1.2098361572046465,74
bottom5,timbre,openvoice,sB3,0.8577253695476103,1.5000575800294416,74
bottom5,timbre,openvoice,sB4,1.0052267440620264,1.5036665224484214,74
bottom5,timbre,openvoice,sF0,1.200753864315831,3.518093046472261,74
bottom5,timbre,openvoice,sF1,1.7790536342466892,5.910421502162115,74
bottom5,timbre,openvoice,sF2,1.3775542916822525,4.685393405984863,74
bottom5,timbre,openvoice,sF3,1.434737771676507,3.0003841456255387,74
bottom5,timbre,openvoice,sF4,1.7934346015406817,4.6050212484278035,74
bottom5,timbre,seed_vc,CPP,0.9319331890222418,1.5612185988641416,72
bottom5,timbre,seed_vc,Energy,1.7032052762773982,4.9216377476185,73
bottom5,timbre,seed_vc,H1H2c,1.0766244845510335,2.787715973560545,72
bottom5,timbre,seed_vc,H2H4c,1.016451672147198,2.483526245630239,72
bottom5,timbre,seed_vc,H2KH5Kc,1.6281628426939196,3.6205660611593635,72
bottom5,timbre,seed_vc,H42Kc,1.274063550510947,2.2122604128176238,72
bottom5,timbre,seed_vc,HNR05,0.9983408807510314,1.5609961993039372,72
bottom5,timbre,seed_vc,HNR15,1.2895638777371863,1.7064789450270093,72
bottom5,timbre,seed_vc,HNR25,1.01586497468065,1.7735014418392674,72
bottom5,timbre,seed_vc,HNR35,1.079657227662364,1.6611165986551915,72
bottom5,timbre,seed_vc,sB1,0.9097551995968206,1.4165836365340405,73
bottom5,timbre,seed_vc,sB2,0.6376403569637449,1.542825184970331,73
bottom5,timbre,seed_vc,sB3,0.7289987850511539,1.3166965061265634,73
bottom5,timbre,seed_vc,sB4,0.7106353097795644,1.1872854536817317,73
bottom5,timbre,seed_vc,sF0,1.043394204258935,1.8634033019473266,73
bottom5,timbre,seed_vc,sF1,1.3117524808984709,2.387448862850214,73
bottom5,timbre,seed_vc,sF2,1.442199948756909,3.7248657697572525,73
bottom5,timbre,seed_vc,sF3,1.452491743359625,3.4248675319630055,73
bottom5,timbre,seed_vc,sF4,1.1931937802751256,3.316128773096593,73
top5,style,openvoice,CPP,1.1973659379641304,1.8173565949575141,77
top5,style,openvoice,Energy,1.3208188388210043,2.0625493050830257,79
top5,style,openvoice,H1H2c,3.537660862635919,5.3909581607227555,77
top5,style,openvoice,H2H4c,1.994054225790239,3.324738903413089,77
top5,style,openvoice,H2KH5Kc,1.3718288853726064,1.939591553196361,77
top5,style,openvoice,H42Kc,1.378551155764001,1.8289842898148874,77
top5,style,openvoice,HNR05,1.1057887130768866,1.7435759801554371,77
top5,style,openvoice,HNR15,1.9112360186360564,2.669493670747864,77
top5,style,openvoice,HNR25,2.554091175654006,3.297327675380342,77
top5,style,openvoice,HNR35,3.014027230637563,3.7366440551729445,77
top5,style,openvoice,sB1,1.2558327614820377,1.6504408622103643,80
top5,style,openvoice,sB2,0.8042175239918492,1.1342278043098717,80
top5,style,openvoice,sB3,0.6810315150713613,1.2078712422291715,80
top5,style,openvoice,sB4,1.4320862957124627,2.2901533510071275,80
top5,style,openvoice,sF0,1.4215576083059718,4.138671946806509,80
top5,style,openvoice,sF1,0.9810392679398832,1.6464130817420919,80
top5,style,openvoice,sF2,0.9363407817139504,1.526466015293436,80
top5,style,openvoice,sF3,0.9192529304710959,3.277901657071881,80
top5,style,openvoice,sF4,1.3543487514268029,3.1682282000512805,80
top5,style,seed_vc,CPP,1.7206061042428513,2.442492952212227,78
top5,style,seed_vc,Energy,5.192666570881362,12.376960026290337,80
top5,style,seed_vc,H1H2c,3.0123161708339925,5.505303321259823,78
top5,style,seed_vc,H2H4c,2.401730105795037,4.338713862849368,78
top5,style,seed_vc,H2KH5Kc,1.726016819237529,2.8660031927649903,78
top5,style,seed_vc,H42Kc,2.0111642179560167,2.75204151164617,78
top5,style,seed_vc,HNR05,1.2176146564810855,2.2793387137164367,78
top5,style,seed_vc,HNR15,1.4779917081221452,2.325838593493704,78
top5,style,seed_vc,HNR25,1.7490120624302203,2.6303697224755993,78
top5,style,seed_vc,HNR35,1.9208493296575502,2.664885452814288,78
top5,style,seed_vc,sB1,1.3675155533596368,1.7222426037265346,80
top5,style,seed_vc,sB2,0.9362145443613357,1.58253865034057,80
top5,style,seed_vc,sB3,0.8870344838581061,1.7550835496688735,80
top5,style,seed_vc,sB4,0.9165549045882799,1.754906815814973,80
top5,style,seed_vc,sF0,1.5627425285693821,3.868794211620179,80
top5,style,seed_vc,sF1,1.3436713771106006,2.2135828730075806,80
top5,style,seed_vc,sF2,1.3047797884531467,2.953075655235962,80
top5,style,seed_vc,sF3,1.6327388978625557,3.4535617303440156,80
top5,style,seed_vc,sF4,1.3220817407802747,2.9585982111893547,80
top5,timbre,openvoice,CPP,1.1996872275804442,1.9959958742579782,72
top5,timbre,openvoice,Energy,1.3331023177754537,2.348056190956792,74
top5,timbre,openvoice,H1H2c,1.469060338306719,3.2214462754276973,72
top5,timbre,openvoice,H2H4c,0.918629428915797,1.8584365996350014,72
top5,timbre,openvoice,H2KH5Kc,1.3578805524042403,3.1294711717376242,72
top5,timbre,openvoice,H42Kc,1.261787480385074,2.1944777549553454,72
top5,timbre,openvoice,HNR05,1.2819494419503803,2.1788093883478905,72
top5,timbre,openvoice,HNR15,1.561507988755063,2.016103959336642,72
top5,timbre,openvoice,HNR25,1.3256344283341068,1.9637029703622453,72
top5,timbre,openvoice,HNR35,1.3034971640655768,1.8887167337306454,72
top5,timbre,openvoice,sB1,0.7603390991183213,1.8867167100984605,75
top5,timbre,openvoice,sB2,0.8395707046462701,1.8202558136840519,75
top5,timbre,openvoice,sB3,0.9188742714911663,1.5107724992695946,75
top5,timbre,openvoice,sB4,1.0548274338166923,1.5329757892681368,75
top5,timbre,openvoice,sF0,1.059751515521062,3.2231592953938835,75
top5,timbre,openvoice,sF1,1.2545999574056175,3.080806772776443,75
top5,timbre,openvoice,sF2,1.5107970697048219,3.1928728227484813,75
top5,timbre,openvoice,sF3,1.285337525181125,3.1740432694142027,75
top5,timbre,openvoice,sF4,1.283941904262946,4.07421854483024,75
top5,timbre,seed_vc,CPP,1.0282280891484707,1.5706408912788752,76
top5,timbre,seed_vc,Energy,1.099011564452584,3.0248899046506668,77
top5,timbre,seed_vc,H1H2c,1.4182342305562967,3.072786754502396,76
top5,timbre,seed_vc,H2H4c,1.3367671150126113,2.445765548715313,76
top5,timbre,seed_vc,H2KH5Kc,1.6031243653234233,3.2945109946036637,76
top5,timbre,seed_vc,H42Kc,1.4727694045659874,2.482747678507301,76
top5,timbre,seed_vc,HNR05,0.9700300583165777,1.3544596490772902,76
top5,timbre,seed_vc,HNR15,0.8805151733922683,1.5814937066984698,76
top5,timbre,seed_vc,HNR25,1.1187802075805813,1.687049391519306,76
top5,timbre,seed_vc,HNR35,1.2163935031862305,1.6256018782386257,76
top5,timbre,seed_vc,sB1,0.7975601163072329,1.4402618983630786,77
top5,timbre,seed_vc,sB2,0.7315153725915193,1.367926951630696,77
top5,timbre,seed_vc,sB3,0.8483884386734648,1.5543305733220198,77
top5,timbre,seed_vc,sB4,1.0871567702696245,1.4353037876595418,77
top5,timbre,seed_vc,sF0,0.8368977597513145,3.1523403860488846,77
top5,timbre,seed_vc,sF1,1.3725154810392195,3.0925131665410723,77
top5,timbre,seed_vc,sF2,1.001925514489575,3.445631321225784,77
top5,timbre,seed_vc,sF3,1.6871439776231347,4.776921662681794,77
top5,timbre,seed_vc,sF4,1.346179226346045,5.074308157711152,77
